title,price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model,date_posted
BMW 750LI // FRESH JAPAN IMPORTED // LOW MILEAGE,"26,500",74000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,Japanese Specs,400 - 500 HP,Gasoline,Left Hand Side,2008,Black, Dubai,750Li,bmw,7-series,09/05/2022
Bmw 520i for sale,"19,500",250000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2009,White, Dubai,520i,bmw,5-series,06/05/2022
"2019 Porsche Boxster, GCC, in Perfect Condition, Full Porsche ServiceSport","268,000",46000,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,4,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2019,Black, Dubai,Standard,porsche,boxster,12/05/2022
PERFORMANCE PACK/SHELBY BODY KIT{1200/-}BLIND SPOT/PREMIUMFULL OPTION,"75,000",77150,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,4,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2018,Black, Dubai,Ecoboost Premium,ford,mustang,20/03/2022
"2014 Bentley Continental Flying Spur 6.0L W12, Special Order, Very low kms, GCC","259,000",22426,Perfect inside and out,Perfect inside and out,Dealer,Sedan,12,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2014,Black, Dubai,Other,bentley,continental-flying-spur,30/03/2022
BMW 523 DIESEL M SPORT PACKAGE 2021,"188,000",55647,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,Japanese Specs,200 - 300 HP,Diesel,Left Hand Side,2021,Black, Ajman,530i M-Kit,bmw,5-series,09/05/2022
nissan patrol,"98,000",90000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Manual Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2017,Beige, Abu Dhabi,Safari,nissan,patrol,17/01/2022
2013 AUDI Q7 S-LINE,"59,000",141000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013,Grey, Dubai,S-line,audi,q7,19/04/2022
TOYOTA LAND CRUISER VXR V8 LIMITED 2007 GCC FULLOPSHON CLEN CAR NO 2007 GCC DIFLOCK,"39,000",183132,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2007,White, Sharjah,VXR TOP,toyota,land-cruiser,03/05/2022
2011 Toyota Prado GCC MidOption Facelift 2021 in Excellent Condition,"76,000",51800,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2011,Black, Dubai,Tx-l MID,toyota,prado,19/06/2021
Inspected Car | 2013 Ford F-150 XLT 5.0L | GCC specifications | Ref#13416,"57,000",147847,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013,Blue, Abu Dhabi,XLT,ford,f-series-pickup,12/05/2022
Mercedes C200 Brand New Gargash With Warranty and Service,"298,000",10,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,,White, Dubai,C200,mercedes-benz,c-class,29/04/2022
Inspected Car | 2013 McLaren MP4-12C 3.8L | GCC specifications | Ref#7801,"305,000",37766,Perfect inside and out,Perfect inside and out,Dealer,Hard Top Convertible,8,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2013,Yellow, Dubai,Other,mclaren,mp412c,13/03/2022
"2021 Toyota Land Cruiser VXR SUV 5.7L 8Cyl 362hp/4,915AED/ASSURED QUALITY","299,900",29884,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2021,White, Dubai,VXR TOP / NAV,toyota,land-cruiser,18/04/2022
2016 Toyota Hilux Gcc FullOption in Excellent Condition,"93,000",20000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Black, Dubai,Double Cab GLX AWD P,toyota,hilux,10/11/2021
Inspected car | 2011 Audi A5 Standard 3.2L | GCC specifications | Ref#10335,"29,999",141497,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2011,Black, Abu Dhabi,Standard,audi,a5,05/04/2022
BMW 730Li M-Kit 2018 GCC - Warranty/Service History/M Sport Package/Great Condition!,"169,500",102909,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018,White, Dubai,730i,bmw,7-series,16/04/2022
Amazing Mercedes Benz C200 2016 Fully Loaded GCC 5 Cameras in Perfect Condition,"89,000",169000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2016,Grey, Abu Dhabi,C200 Avantgarde,mercedes-benz,c-class,12/05/2022
AED4165/month | 2015 BMW X6 Xdrive50i 4.4L | Full BMW Service | GCC specs | Ref#6261,"119,000",103473,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2015,Black, Dubai,Xdrive50i,bmw,x6,08/04/2022
Inspected Car | 2013 Land Rover Range Rover Sport HSE Luxury 5.0L | GCC Specifications | Ref#2131,"59,900",134904,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013,White, Dubai,HSE,land-rover,range-rover-sport,27/12/2021
Beautiful Cadallic ATS. 2013,"38,000",89000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,Black, Dubai,Luxury,cadillac,ats,11/05/2022
Audi TT - quattro - SLine Amazing condition,"125,000",74000,Perfect inside and out,Perfect inside and out,Owner,Coupe,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Red, Dubai,S-Line,audi,tt,03/05/2022
NISSAN Altima SR 2019 (American Spec VC Turbo),"70,000",73000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2019,Grey, Dubai,SR,nissan,altima,03/05/2022
Inspected Car | 2014 Toyota Land Cruiser VXR 4.6L | GCC Specifications | Ref#11346,"117,000",244653,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,Black, Dubai,VXR,toyota,land-cruiser,14/04/2022
BMW X6 V8 M Kit Full Option Gcc Under Warranty,"249,000",51000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2018,White, Dubai,Xdrive50i,bmw,x6,08/03/2022
Inspected Car  | 2018 Honda Accord 1.5L | Full Honda Service History | GCC Specs | Ref#8628,"78,000",66844,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2018,Grey, Abu Dhabi,Other,honda,accord,13/03/2022
2018 MITSUBISHI PAJERO GCC FULLOPTION IN EXCELLENT CONDITION,"65,000",31000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2018,Silver, Dubai,GLS TOP,mitsubishi,pajero,25/12/2021
C-300 2019 EXCELLENT CONDITION / WITH WARRANTY,"135,000",26400,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2019,White, Dubai,C300 Luxury,mercedes-benz,c-class,06/03/2022
Sonata SE 2015M 2.4L Mid Option In Excellent Condition,"35,000",55000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015,Red, Dubai,Sport,hyundai,sonata,05/05/2022
nissan patrol,"255,000",69000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2020,White, Sharjah,LE Platinum + FES,nissan,patrol,07/05/2022
TOYOTA CAMRY GLX MODEL 2008 GCC SPECS LESS KM REF.6487,"19,000",125000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2008,White, Dubai,GLX,toyota,camry,10/04/2022
maserati quattroporte,"135,000",100000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2016,Black, Sharjah,S,maserati,quattroporte,27/03/2022
"2016 BMW 740Li Luxury Sedan 3.0L 6Cyl 322hp Turbo// AED 2,948/Month/ASSURED QUALITY","179,900",50000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2016,White, Dubai,740li Luxury,bmw,7-series,04/03/2022
"2020 Audi S8,  GCC, Full service history from official dealer, warranty","398,000",50000,Perfect inside and out,Perfect inside and out,Owner,Sedan,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2020,Black, Abu Dhabi,S-Line,audi,s8,10/05/2022
"3,235 AED / month | 0% DP | Edge ST / Full Ford Service History  5 Year Ford Warranty","159,000",34100,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2019,White, Dubai,ST,ford,edge,12/04/2022
2021 BRAND NEW JEEP GRAND CHEROKEE LIMITED | GCC SPECS | SUNROOF | WITH WARRANTY,"179,000",19,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2021,Red, Dubai,Limited,jeep,grand-cherokee,28/04/2022
2018 Hyundai Kona 1.6L 4x4 ULTIMATE Full Option+,"46,000",84404,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,Other,150 - 200 HP,Gasoline,Left Hand Side,2018,Red, Dubai,1.6T I4 4WD,hyundai,kona,22/04/2022
!! 2020 !! Toyota Land Cruiser VXR 5.7,"275,000",67000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2020,White, Dubai,VXR,toyota,land-cruiser,28/03/2022
BENTLEY BENTYAGA  W-12 BLACK EDITION2018 CLEAN CAR / WITH WARRANTY,"525,000",22754,Perfect inside and out,Perfect inside and out,Dealer,SUV,12,Automatic Transmission,Other,500 - 600 HP,Gasoline,Left Hand Side,2018,White, Sharjah,W12 AWD,bentley,bentayga,06/04/2022
Nissan Patrol 2015 Platinium full,"115,000",167000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2015,White, Sharjah,SE Platinum,nissan,patrol,27/04/2022
"2,373 / month | 0% DP | F150 XLT 5.0L V8 / Full Ford Service History / Original Paint","115,000",28500,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2017,Red, Dubai,XLT,ford,f-series-pickup,11/04/2022
RESERVED! NAVARA + 4WD + HIGH / GCC / 2017 / UNLIMITED MILEAGE WARRANTY + FREE SERVICE CONTRACT /,"45,800",136722,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Manual Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2017,White, Dubai,SE,nissan,navara,26/03/2022
gmc sierra,"37,000",176000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2012,White, Dubai,Other,gmc,sierra,06/04/2022
BRAND NEW LEXUS LX600 SIGNATURE,"689,000",100,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,,Gold, Dubai,Other,lexus,lx600,20/04/2022
TOYOTA FORTUNER 2014 G.C.C V4 IN EXCELLENT CONDITION,"53,000",63442,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2014,White, Dubai,EXR,toyota,fortuner,09/05/2022
nissan patrol,"150,000",22000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Black, Dubai,Super Safari,nissan,patrol,26/04/2022
Ferrari Roma 2022 | 3.9 liter V8,"1,249,999",0,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,European Specs,600 - 700 HP,Gasoline,Left Hand Side,,Grey, Dubai,Other,ferrari,roma,29/04/2022
AED1522/month | 2016 Volkswagen Touareg SEL 3.6L | Full Volkswagen Service | GCC Specs | Ref#13558,"83,000",79357,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Grey, Dubai,SEL,volkswagen,touareg,05/05/2022
Ford Expedition 2018. Platinum. GCC,"189,000",127000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2018,White, Dubai,Platinum,ford,expedition,19/04/2022
Inspected Car | 2019 Renault Symbol 1.6L | GCC specifications | Ref#13131,"27,000",105847,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2019,Blue, Dubai,Other,renault,symbol,28/04/2022
Toyota rav4 2018 full option leather seats,"49,000",18000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2018,Blue, Dubai,LE,toyota,rav-4,13/05/2022
AED3282/month | 2016 BMW 750Li 4.4L | Full BMW Service History | GCC Specs | Ref#12044,"179,000",88595,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2016,Silver, Abu Dhabi,750Li,bmw,7-series,19/04/2022
2019 | JEEP WRANGLER UNLIMITED SPORT | 3.6L V6 5-DOORS | GCC | AGENCY FULL-SERVICE HISTORY,"145,000",63774,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019,Orange, Dubai,Sport,jeep,wrangler-unlimited,05/05/2022
ford mustang,"68,000",112000,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,8,Manual Transmission,Other,400 - 500 HP,Gasoline,Left Hand Side,2016,Black, Sharjah,GT Premium,ford,mustang,23/03/2022
KIA CARNIVAL-6 CYLINDERS-2014-FULLY AUTOMATIC-EXCELLENT CONDITION-,"28,500",170000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2014,Black, Dubai,EX,kia,carnival,23/04/2022
VERY CLEAN KIA RIO 2019,"49,000",54000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2019,White, Dubai,EX TOP,kia,rio,12/05/2022
mercedes-benz c-class,"109,000",25000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,North American Specs,150 - 200 HP,Gasoline,Left Hand Side,2019,White, Sharjah,C300 Luxury,mercedes-benz,c-class,10/02/2022
BMW X6M COMPETITION 2022  [FULL OPTIONS] [AGMC],"670,000",6900,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,,Black, Dubai,X6M Competition,bmw,x6,10/05/2022
toyota aurion,"39,500",248000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,Silver, Dubai,Other,toyota,aurion,27/04/2022
"2016 BMW 740Li Luxury M Sport package 3.0L 6Cyl 322hp// 2,834AED //ASSURED QUALITY","172,900",77500,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2016,White, Dubai,740li Luxury,bmw,7-series,28/02/2022
ONLY 1390X60 MNTHLY 7 SEATER 4X4 EXCELENT CONDITION UNLIMITED KM WARANTY,"89,950",46000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2018,Orange, Dubai,SV,nissan,x-trail,20/02/2022
FORD FOCUS ST_ v4 - 2014,"59,000",94000,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4,Manual Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,Yellow, Dubai,ST,ford,focus,16/03/2022
2015 Mint Maybach S550,"295,000",79500,Perfect inside and out,Perfect inside and out,Owner,Sedan,8,Automatic Transmission,Japanese Specs,400 - 500 HP,Gasoline,Left Hand Side,2015,Blue, Abu Dhabi,Other,mercedes-maybach,s-class,12/05/2022
Mercedes Benz GL500 2015 Gcc for sale,"98,000",89000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2015,Grey, Sharjah,GL 500 4matic,mercedes-benz,gl-class,29/04/2022
Nissan Pathfinder 2015 GCC,"37,000",139000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2015,Silver, Sharjah,XE,nissan,pathfinder,27/04/2022
Nissan Altima SL Japanese Space Full option,"89,000",22000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,Japanese Specs,150 - 200 HP,Gasoline,Left Hand Side,2019,White, Dubai,SL,nissan,altima,10/05/2022
AED917/month | 2017 Volkswagen Golf 1.2L | GCC Specifications | Ref#12975,"49,999",46289,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2017,Black, Abu Dhabi,Other,volkswagen,golf,30/04/2022
|Hyundai Accent | 2018 | GCC |,"36,000",52000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2018,Grey, Sharjah,GL,hyundai,accent,27/04/2022
"MERCEDES C63 COUPE BLACK SERIES, 2013, GCC, 1 OWNER, IMMACULATE CONDITION","699,000",8000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2013,White, Dubai,Other,mercedes-benz,c-class-coupe,09/05/2022
"2022 Model,Gcc , Under Warranty and Contract Services","695,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,5,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,,Grey, Dubai,,lexus,lx600,19/03/2022
Mazda 3 GCC 2.0 1st Owner,"32,000",240000,"No accidents, very few faults",Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016,White, Dubai,R,mazda,3,09/05/2022
AED568/month | 2017 Renault Symbol 1.6L | GCC Specifications | Ref#11508,"31,000",75749,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2017,Blue, Dubai,Other,renault,symbol,13/04/2022
Mini Cooper convertible lady driven good car,"22,000",200000,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,3,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2012,Grey, Dubai,Cooper Cabrio,mini,cooper,26/04/2022
AED 1250 PM | 0% DP | 2.0L SE GCC WARRANTY,"63,900",89986,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2019,White, Dubai,SE,toyota,corolla,12/05/2022
"2022 Porsche Cayenne Coupe, April 2024 Porsche Warranty, Brand new car, GCC","469,000",22,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,,Black, Dubai,Standard,porsche,cayenne,20/04/2022
Inspected Car | 2011 Jeep Grand Cherokee Overland 5.7L | GCC Specifications | Ref#7068,"45,000",131345,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2011,Red, Dubai,Overland,jeep,grand-cherokee,22/03/2022
Mercedes A250 in Mint Condition,"142,000",61000,Perfect inside and out,Perfect inside and out,Owner,Hatchback,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019,White, Dubai,A 250,mercedes-benz,a-class,10/05/2022
Inspected Car | 2007 Mercedes-Benz S 65 AMG 6.0L | GCC Specifications | Ref#13735,"90,000",163217,Perfect inside and out,Perfect inside and out,Dealer,Sedan,12,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2007,White, Dubai,S 65 AMG,mercedes-benz,s-class,07/05/2022
BMW 650i # GCC # SINGLE OWNER# FULL SERVICE HISTORY # ACCIDENT FREE AND WELL MAINTAINED # AED 79500/,"79,500",138000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2015,Red, Dubai,650i Excellence,bmw,6-series,29/04/2022
AED1265/month | 2016 Nissan Maxima SR 3.5L | Full Nissan Service History | GCC Specs | Ref#10483,"69,000",95864,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2016,Grey, Dubai,SR,nissan,maxima,24/04/2022
"Toyota Camry LE 2005 - AED 15,000","13,500",350000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2005,Silver, Sharjah,LE,toyota,camry,13/05/2022
AED5403/month | 2021 BMW X5 XDrive40i M Sport 3.0L | Full BMW Service History | GCC Specs | Ref#5108,"345,000",18595,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2021,Black, Dubai,Xdrive 40i,bmw,x5,01/02/2022
2003 MERCEDES E320 FULL OPTION LOW KM RTA PASS IN SUPERB CONDITION,"11,900",170000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,Japanese Specs,200 - 300 HP,Gasoline,Left Hand Side,2003,Silver, Dubai,E 320,mercedes-benz,e-class,09/05/2022
AED2493/month | 2018 Jeep Wrangler Sport 3.6L | Full Jeep Service History | GCC | Ref#8907,"136,000",37841,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018,Blue, Dubai,Sport,jeep,wrangler,21/03/2022
AED4033/month | 2017 Toyota Land Cruiser VXR 4.6L | GCC specifications | Ref#13220,"220,000",183149,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2017,White, Dubai,VXR,toyota,land-cruiser,28/04/2022
2020 FORD MUSTANG GT,"120,000",14884,Perfect inside and out,Perfect inside and out,Owner,Coupe,8,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2020,Green, Sharjah,GT,ford,mustang,10/05/2022
Nissan Sunny 2017 GCC Specs Mid Option,"23,000",138155,Perfect inside and out,Perfect inside and out,Owner,Sedan,3,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2017,White, Dubai,Other,nissan,sunny,12/05/2022
2012 BMW 750LI GCC Specs,"49,999",149936,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2012,Gold, Dubai,750Li,bmw,7-series,03/05/2022
2019 MERCEDES BENZ S560 COUPE | GCC SPECS | DESIGNO INTERIOR,"469,000",16424,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2019,White, Dubai,S 560 4MATIC,mercedes-benz,s-class,19/04/2022
AED 880 PM | 0% DP | 1.8 S GCC WARRANTY,"44,900",94532,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2018,White, Dubai,S,nissan,sentra,13/02/2022
Nissan Murano 2006 Model Good Condition for sale 11500,"11,500",243280,"A bit of wear & tear, all repaired","Minor faults, all fixed",Owner,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2006,White, Dubai,SE,nissan,murano,10/05/2022
AED1098/month | 2016 Hyundai Santa Fe GLS Top 3.3L | GCC specifications | Ref#9726,"59,900",155628,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Silver, Dubai,GLS Top,hyundai,santa-fe,19/04/2022
Stunning Mercedes’ E 280 Gcc 2007 well maintained,"16,000",210638,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2007,Black, Dubai,E 280,mercedes-benz,e-class,10/05/2022
AED 977 PM | 0% DP | 2.4L LX AWD GCC DEALER WARRANTY,"49,900",131487,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015,White, Dubai,LX,kia,sportage,20/04/2022
Lexus NX 200t Full Option Gold 2016 In Excellent Condition Like New,"103,000",122000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Gold, Dubai,Platinum,lexus,nx-200t,10/05/2022
Nissan santra 2019,"30,000",19256,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2019,Grey, Sharjah,SV,nissan,sentra,26/04/2022
Mercedes-Benz C-Class 300 Luxury - 4matic,"95,000",62502,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2018,Black, Dubai,C300 Luxury,mercedes-benz,c-class,28/04/2022
AED596/month | 2016 Mitsubishi Lancer 1.6L | GCC Specifications | Ref#9035,"32,500",81865,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2016,Red, Dubai,Other,mitsubishi,lancer,19/03/2022
